,TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,Date
17,18,18,Escape from Germany,"$17,144",-23.1%,-30.7%,89,$192,"$2,099,229",42,Susan Tuckett Media,2024-05-23
18,19,19,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$13,029",-39.2%,-91.9%,330,$39,"$12,985,876",21,Walt Disney Studios Motion Pictures,2024-05-23
19,20,21,Wicked Little Letters,"$12,938",+21.2%,-,132,$98,"$4,853,758",56,Sony Pictures Releasing,2024-05-23
20,21,20,Babes,"$12,237",-28.8%,-,12,"$1,019","$227,799",7,-,2024-05-23
21,22,25,The First Omen,"$4,223",+82.6%,-49.7%,150,$28,"$20,069,637",49,Walt Disney Studios Motion Pictures,2024-05-23
22,23,22,La Chimera,"$3,546",-26.8%,-37.6%,20,$177,"$821,870",56,-,2024-05-23
23,24,23,Spy x Family Code: White,"$3,217",-29.7%,-59.8%,34,$94,"$8,096,975",35,Crunchyroll,2024-05-23
24,25,24,Not Another Church Movie,"$1,540",-48.7%,-91.8%,228,$6,"$576,243",14,Briarcliff Entertainment,2024-05-23
25,26,28,Cabrini,"$1,436",+252%,+102.8%,20,$71,"$19,504,410",77,Angel Studios,2024-05-23
26,27,26,Mars Express,"$1,224",+81.3%,-59%,9,$136,"$193,589",21,GKIDS,2024-05-23
27,28,30,The Boy and the Heron,$532,+312.4%,-69.1%,7,$76,"$46,832,867",168,GKIDS,2024-05-23
28,29,29,The Lavender Hill Mob,$380,+33.8%,-59.4%,1,$380,"$12,566",14,Rialto Pictures,2024-05-23
29,30,31,Boy Kills World,$73,+1.4%,-92.3%,7,$10,"$2,625,651",28,Roadside Attractions,2024-05-23
30,31,-,Chicken for Linda!,$58,-,-90%,5,$11,"$21,500",49,GKIDS,2024-05-23
31,32,-,Accidental Texan,$30,-,-,1,$30,"$292,687",77,Roadside Attractions,2024-05-23
32,33,27,Thabo and the Rhino Case,$10,-98.2%,-99%,2,$5,"$43,936",21,Purdie Distribution,2024-05-23
0,1,-,Furiosa: A Mad Max Saga,"$10,356,086",-,-,"3,804","$2,722","$10,356,086",1,Warner Bros.,2024-05-24
1,2,-,The Garfield Movie,"$8,405,671",-,-,"4,035","$2,083","$8,405,671",1,Sony Pictures Releasing,2024-05-24
2,3,1,IF,"$4,316,578",+150.4%,-58.6%,"4,068","$1,061","$46,883,370",8,Paramount Pictures,2024-05-24
3,4,2,Kingdom of the Planet of the Apes,"$3,397,667",+109.8%,-50.2%,"3,550",$957,"$112,846,919",15,20th Century Studios,2024-05-24
4,5,3,The Strangers: Chapter 1,"$1,652,175",+91.8%,-67.6%,"2,856",$578,"$17,386,163",8,Lionsgate Films,2024-05-24
5,6,4,The Fall Guy,"$1,622,520",+129.2%,-31%,"2,955",$549,"$67,913,905",22,Universal Pictures,2024-05-24
6,7,-,Sight,"$1,100,125",-,-,"2,100",$523,"$1,100,125",1,Angel Studios,2024-05-24
7,8,21,Babes,"$480,898","+3,829.9%",+611.2%,595,$808,"$708,697",8,-,2024-05-24
8,9,5,Challengers,"$438,693",+38.2%,-52.9%,"1,089",$402,"$45,533,453",29,United Artists Releasing,2024-05-24
9,10,6,Back to Black,"$305,670",+55.4%,-75.3%,"2,013",$151,"$4,204,690",8,Focus Features,2024-05-24
10,11,7,Tarot,"$204,964",+38.4%,-64.2%,864,$237,"$16,483,653",22,Screen Gems,2024-05-24
11,12,8,I Saw the TV Glow,"$157,552",+20%,-62.9%,458,$344,"$2,301,480",22,A24,2024-05-24
12,13,9,Godzilla x Kong: The New Empire,"$145,744",+36.7%,-63.8%,664,$219,"$195,052,377",57,Warner Bros.,2024-05-24
13,14,15,Ghostbusters: Frozen Empire,"$130,320",+426.3%,+12%,228,$571,"$112,405,089",64,Sony Pictures Releasing,2024-05-24
14,15,11,Unsung Hero,"$80,163",-16.3%,-75.1%,530,$151,"$19,593,852",29,Lionsgate Films,2024-05-24
15,16,12,Civil War,"$78,950",-4.4%,-71%,451,$175,"$67,790,888",43,A24,2024-05-24
16,17,10,The Blue Angels,"$63,257",-38.1%,-85%,450,$140,"$2,145,584",8,-,2024-05-24
17,18,13,Kung Fu Panda 4,"$61,575",-15%,-73.1%,485,$126,"$193,079,940",78,Universal Pictures,2024-05-24
18,19,18,Escape from Germany,"$25,857",+50.8%,-45.6%,45,$574,"$2,125,086",43,Susan Tuckett Media,2024-05-24
19,20,14,Abigail,"$16,835",-41.1%,-85.2%,109,$154,"$25,797,825",36,Universal Pictures,2024-05-24
20,21,17,The Ministry of Ungentlemanly Warfare,"$13,589",-25.6%,-80.8%,100,$135,"$20,448,189",36,Lionsgate Films,2024-05-24
21,22,19,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$9,544",-26.7%,-76.2%,70,$136,"$12,995,420",22,Walt Disney Studios Motion Pictures,2024-05-24
22,23,22,The First Omen,"$8,068",+91%,-77.3%,75,$107,"$20,077,705",50,Walt Disney Studios Motion Pictures,2024-05-24
23,24,23,La Chimera,"$5,019",+41.5%,+7.9%,15,$334,"$826,889",57,-,2024-05-24
24,25,-,Late Night with the Devil,"$2,360",-,-61%,8,$295,"$9,962,832",64,IFC Films,2024-05-24
25,26,16,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$1,647",-93.2%,-34.4%,466,$3,"$4,962,544",40,Sony Pictures Releasing,2024-05-24
26,27,24,Spy x Family Code: White,"$1,549",-51.8%,-75%,10,$154,"$8,098,524",36,Crunchyroll,2024-05-24
27,28,29,The Lavender Hill Mob,$440,+15.8%,-22.1%,2,$220,"$13,006",15,Rialto Pictures,2024-05-24
28,29,26,Cabrini,$437,-69.6%,-84.5%,4,$109,"$19,504,847",78,Angel Studios,2024-05-24
29,30,30,Boy Kills World,$14,-80.8%,-93.2%,4,$3,"$2,625,665",29,Roadside Attractions,2024-05-24
0,1,1,Furiosa: A Mad Max Saga,"$8,351,559",-19.4%,-,"3,804","$2,195","$18,707,645",2,Warner Bros.,2024-05-25
1,2,2,The Garfield Movie,"$8,226,095",-2.1%,-,"4,035","$2,038","$16,631,766",2,Sony Pictures Releasing,2024-05-25
2,3,3,IF,"$6,132,295",+42.1%,-56.2%,"4,068","$1,507","$53,015,665",9,Paramount Pictures,2024-05-25
3,4,4,Kingdom of the Planet of the Apes,"$5,094,980",+50%,-53.1%,"3,550","$1,435","$117,941,899",16,20th Century Studios,2024-05-25
4,5,6,The Fall Guy,"$2,292,560",+41.3%,-37.4%,"2,955",$775,"$70,206,465",23,Universal Pictures,2024-05-25
5,6,5,The Strangers: Chapter 1,"$2,078,248",+25.8%,-48.9%,"2,856",$727,"$19,464,411",9,Lionsgate Films,2024-05-25
6,7,7,Sight,"$886,677",-19.4%,-,"2,100",$422,"$1,986,802",2,Angel Studios,2024-05-25
7,8,9,Challengers,"$482,574",+10%,-58%,"1,089",$443,"$46,016,027",30,United Artists Releasing,2024-05-25
8,9,10,Back to Black,"$399,710",+30.8%,-57.3%,"2,013",$198,"$4,604,400",9,Focus Features,2024-05-25
9,10,8,Babes,"$299,877",-37.6%,+407.3%,595,$503,"$1,008,574",9,-,2024-05-25
10,11,11,Tarot,"$292,079",+42.5%,-66.7%,864,$338,"$16,775,732",23,Screen Gems,2024-05-25
11,12,13,Godzilla x Kong: The New Empire,"$245,874",+68.7%,-68.9%,664,$370,"$195,298,251",58,Warner Bros.,2024-05-25
12,13,12,I Saw the TV Glow,"$182,742",+16%,-45.9%,458,$399,"$2,484,222",23,A24,2024-05-25
13,14,14,Ghostbusters: Frozen Empire,"$182,381",+39.9%,-16.9%,228,$799,"$112,587,470",65,Sony Pictures Releasing,2024-05-25
14,15,16,Civil War,"$116,846",+48%,-73.7%,451,$259,"$67,907,734",44,A24,2024-05-25
15,16,15,Unsung Hero,"$109,378",+36.4%,-75.5%,530,$206,"$19,703,230",30,Lionsgate Films,2024-05-25
16,17,18,Kung Fu Panda 4,"$93,385",+51.7%,-79%,485,$192,"$193,173,325",79,Universal Pictures,2024-05-25
17,18,17,The Blue Angels,"$81,763",+29.3%,-83.9%,450,$181,"$2,227,347",9,-,2024-05-25
18,19,19,Escape from Germany,"$43,917",+69.8%,-14.3%,49,$896,"$2,169,003",44,Susan Tuckett Media,2024-05-25
19,20,20,Abigail,"$23,080",+37.1%,-87.2%,109,$211,"$25,820,905",37,Universal Pictures,2024-05-25
20,21,21,The Ministry of Ungentlemanly Warfare,"$22,528",+65.8%,-79.4%,100,$225,"$20,470,717",37,Lionsgate Films,2024-05-25
21,22,22,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$10,855",+13.7%,-84.7%,70,$155,"$13,006,275",23,Walt Disney Studios Motion Pictures,2024-05-25
22,23,23,The First Omen,"$9,098",+12.8%,-83.6%,75,$121,"$20,086,803",51,Walt Disney Studios Motion Pictures,2024-05-25
23,24,24,La Chimera,"$5,698",+13.5%,-25.7%,15,$379,"$832,587",58,-,2024-05-25
24,25,27,Spy x Family Code: White,"$2,994",+93.3%,-76.1%,10,$299,"$8,101,518",37,Crunchyroll,2024-05-25
25,26,-,Thabo and the Rhino Case,"$2,066",-,"+12,052.9%",2,"$1,033","$46,002",23,Purdie Distribution,2024-05-25
26,27,26,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$1,203",-27%,-60.4%,466,$2,"$4,963,747",41,Sony Pictures Releasing,2024-05-25
27,28,28,The Lavender Hill Mob,"$1,084",+146.4%,+57.6%,2,$542,"$14,090",16,Rialto Pictures,2024-05-25
28,29,29,Cabrini,$417,-4.6%,-64.2%,4,$104,"$19,505,264",79,Angel Studios,2024-05-25
29,30,30,Boy Kills World,$30,+114.3%,-84%,4,$7,"$2,625,695",30,Roadside Attractions,2024-05-25
0,1,1,Furiosa: A Mad Max Saga,"$7,618,817",-8.8%,-,"3,804","$2,002","$26,326,462",3,Warner Bros.,2024-05-26
1,2,2,The Garfield Movie,"$7,374,863",-10.3%,-,"4,035","$1,827","$24,006,629",3,Sony Pictures Releasing,2024-05-26
2,3,3,IF,"$5,696,931",-7.1%,-38.6%,"4,068","$1,400","$58,712,596",10,Paramount Pictures,2024-05-26
3,4,4,Kingdom of the Planet of the Apes,"$4,897,496",-3.9%,-36.8%,"3,550","$1,379","$122,839,395",17,20th Century Studios,2024-05-26
4,5,5,The Fall Guy,"$2,058,135",-10.2%,-11.9%,"2,955",$696,"$72,264,600",24,Universal Pictures,2024-05-26
5,6,6,The Strangers: Chapter 1,"$1,850,747",-10.9%,-30.3%,"2,856",$648,"$21,315,158",10,Lionsgate Films,2024-05-26
6,7,7,Sight,"$808,645",-8.8%,-,"2,100",$385,"$2,795,447",3,Angel Studios,2024-05-26
7,8,8,Challengers,"$493,358",+2.2%,-37.5%,"1,089",$453,"$46,509,385",31,United Artists Releasing,2024-05-26
8,9,9,Back to Black,"$381,965",-4.4%,-42.3%,"2,013",$189,"$4,986,365",10,Focus Features,2024-05-26
9,10,10,Babes,"$278,886",-7%,+666%,595,$468,"$1,287,460",10,-,2024-05-26
10,11,11,Tarot,"$263,207",-9.9%,-53.7%,864,$304,"$17,038,939",24,Screen Gems,2024-05-26
11,12,12,Godzilla x Kong: The New Empire,"$211,531",-14%,-56.3%,664,$318,"$195,509,782",59,Warner Bros.,2024-05-26
12,13,13,I Saw the TV Glow,"$173,605",-5%,-27.6%,458,$379,"$2,657,827",24,A24,2024-05-26
13,14,15,Civil War,"$111,004",-5%,-66.7%,451,$246,"$68,018,738",45,A24,2024-05-26
14,15,16,Unsung Hero,"$107,730",-1.5%,-59.6%,530,$203,"$19,810,960",31,Lionsgate Films,2024-05-26
15,16,14,Ghostbusters: Frozen Empire,"$102,495",-43.8%,-1.8%,228,$449,"$112,689,965",66,Sony Pictures Releasing,2024-05-26
16,17,17,Kung Fu Panda 4,"$81,930",-12.3%,-67.3%,485,$168,"$193,255,255",80,Universal Pictures,2024-05-26
17,18,18,The Blue Angels,"$78,549",-3.9%,-83.4%,450,$174,"$2,305,896",10,-,2024-05-26
18,19,21,The Ministry of Ungentlemanly Warfare,"$23,872",+6%,-60.6%,100,$238,"$20,494,589",38,Lionsgate Films,2024-05-26
19,20,20,Abigail,"$17,940",-22.3%,-83.4%,109,$164,"$25,838,845",38,Universal Pictures,2024-05-26
20,21,22,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$10,000",-7.9%,-80.9%,70,$142,"$13,016,275",24,Walt Disney Studios Motion Pictures,2024-05-26
21,22,24,La Chimera,"$7,087",+24.4%,+54.3%,15,$472,"$839,674",59,-,2024-05-26
22,23,23,The First Omen,"$4,500",-50.5%,-87.9%,75,$60,"$20,091,303",52,Walt Disney Studios Motion Pictures,2024-05-26
23,24,19,Escape from Germany,"$4,366",-90.1%,-38.9%,49,$89,"$2,173,369",45,Susan Tuckett Media,2024-05-26
24,25,25,Spy x Family Code: White,"$3,367",+12.5%,-69.4%,10,$336,"$8,104,885",38,Crunchyroll,2024-05-26
25,26,27,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$1,565",+30.1%,-2.4%,466,$3,"$4,965,312",42,Sony Pictures Releasing,2024-05-26
26,27,28,The Lavender Hill Mob,$696,-35.8%,+5.8%,2,$348,"$14,786",17,Rialto Pictures,2024-05-26
27,28,29,Cabrini,$490,+17.5%,-53.2%,4,$122,"$19,505,754",80,Angel Studios,2024-05-26
28,29,30,Boy Kills World,$265,+783.3%,+28%,4,$66,"$2,625,960",31,Roadside Attractions,2024-05-26
0,1,2,The Garfield Movie,"$7,249,276",-1.7%,-,"4,035","$1,796","$31,255,905",4,Sony Pictures Releasing,2024-05-27
1,2,3,IF,"$6,163,496",+8.2%,+150.4%,"4,068","$1,515","$64,876,092",11,Paramount Pictures,2024-05-27
2,3,1,Furiosa: A Mad Max Saga,"$6,016,683",-21%,-,"3,804","$1,581","$32,343,145",4,Warner Bros.,2024-05-27
3,4,4,Kingdom of the Planet of the Apes,"$4,228,878",-13.7%,+72.5%,"3,550","$1,191","$127,068,273",18,20th Century Studios,2024-05-27
4,5,5,The Fall Guy,"$1,927,250",-6.4%,+116.4%,"2,955",$652,"$74,191,850",25,Universal Pictures,2024-05-27
5,6,6,The Strangers: Chapter 1,"$1,435,206",-22.5%,+39.9%,"2,856",$502,"$22,750,364",11,Lionsgate Films,2024-05-27
6,7,7,Sight,"$962,821",+19.1%,-,"2,100",$458,"$3,758,268",4,Angel Studios,2024-05-27
7,8,8,Challengers,"$481,265",-2.5%,+14.8%,"1,089",$441,"$46,990,650",32,United Artists Releasing,2024-05-27
8,9,9,Back to Black,"$351,730",-7.9%,+28.2%,"2,013",$174,"$5,338,095",11,Focus Features,2024-05-27
9,10,26,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$268,187","+17,036.5%",-6.9%,466,$575,"$5,233,499",43,Sony Pictures Releasing,2024-05-27
10,11,10,Babes,"$250,997",-10%,"+1,469.7%",595,$421,"$1,538,457",11,-,2024-05-27
11,12,11,Tarot,"$181,178",-31.2%,-18.6%,864,$209,"$17,220,117",25,Screen Gems,2024-05-27
12,13,12,Godzilla x Kong: The New Empire,"$172,533",-18.4%,+18.7%,664,$259,"$195,682,315",60,Warner Bros.,2024-05-27
13,14,15,Unsung Hero,"$140,910",+30.8%,+31.2%,530,$265,"$19,951,870",32,Lionsgate Films,2024-05-27
14,15,13,I Saw the TV Glow,"$128,468",-26%,-23.1%,458,$280,"$2,786,294",25,A24,2024-05-27
15,16,18,The Blue Angels,"$102,354",+30.3%,-47%,450,$227,"$2,408,250",11,-,2024-05-27
16,17,17,Kung Fu Panda 4,"$87,430",+6.7%,-28.9%,485,$180,"$193,342,685",81,Universal Pictures,2024-05-27
17,18,14,Civil War,"$86,583",-22%,-28.3%,451,$191,"$68,105,320",46,A24,2024-05-27
18,19,24,Escape from Germany,"$49,447","+1,032.5%",+63.5%,49,"$1,009","$2,222,816",46,Susan Tuckett Media,2024-05-27
19,20,16,Ghostbusters: Frozen Empire,"$24,582",-76%,-30.1%,228,$107,"$112,714,547",67,Sony Pictures Releasing,2024-05-27
20,21,19,The Ministry of Ungentlemanly Warfare,"$21,807",-8.7%,-11.1%,100,$218,"$20,516,396",39,Lionsgate Films,2024-05-27
21,22,20,Abigail,"$12,685",-29.3%,-67.4%,109,$116,"$25,851,530",39,Universal Pictures,2024-05-27
22,23,22,La Chimera,"$7,497",+5.8%,+81.3%,15,$499,"$847,171",60,-,2024-05-27
23,24,21,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$7,429",-25.7%,-62.9%,70,$106,"$13,023,704",25,Walt Disney Studios Motion Pictures,2024-05-27
24,25,25,Spy x Family Code: White,"$2,170",-35.6%,-67%,10,$217,"$8,107,055",39,Crunchyroll,2024-05-27
25,26,23,The First Omen,"$1,102",-75.5%,-83.9%,75,$14,"$20,092,405",53,Walt Disney Studios Motion Pictures,2024-05-27
26,27,27,The Lavender Hill Mob,$631,-9.3%,+82.9%,2,$315,"$15,417",18,Rialto Pictures,2024-05-27
27,28,28,Cabrini,$594,+21.2%,+96%,4,$148,"$19,506,348",81,Angel Studios,2024-05-27
28,29,29,Boy Kills World,$8,-97%,-89.6%,4,$2,"$2,625,968",32,Roadside Attractions,2024-05-27
0,1,3,Furiosa: A Mad Max Saga,"$2,947,840",-51%,-,"3,804",$774,"$35,290,985",5,Warner Bros.,2024-05-28
1,2,1,The Garfield Movie,"$2,682,060",-63%,-,"4,035",$664,"$33,937,965",5,Sony Pictures Releasing,2024-05-28
2,3,2,IF,"$1,945,584",-68.4%,-32%,"4,068",$478,"$66,821,676",12,Paramount Pictures,2024-05-28
3,4,4,Kingdom of the Planet of the Apes,"$1,661,664",-60.7%,-41.8%,"3,550",$468,"$128,729,937",19,20th Century Studios,2024-05-28
4,5,6,The Strangers: Chapter 1,"$771,561",-46.2%,-34.3%,"2,856",$270,"$23,521,925",12,Lionsgate Films,2024-05-28
5,6,5,The Fall Guy,"$761,820",-60.5%,-28.5%,"2,955",$257,"$74,953,670",26,Universal Pictures,2024-05-28
6,7,7,Sight,"$487,976",-49.3%,-,"2,100",$232,"$4,246,244",5,Angel Studios,2024-05-28
7,8,8,Challengers,"$254,162",-47.2%,-50.9%,"1,089",$233,"$47,244,812",33,United Artists Releasing,2024-05-28
8,9,9,Back to Black,"$183,220",-47.9%,-48.8%,"2,013",$91,"$5,521,315",12,Focus Features,2024-05-28
9,10,11,Babes,"$121,158",-51.7%,+529.5%,595,$203,"$1,659,615",12,-,2024-05-28
10,11,12,Tarot,"$105,412",-41.8%,-56%,864,$122,"$17,325,529",26,Screen Gems,2024-05-28
11,12,13,Godzilla x Kong: The New Empire,"$70,081",-59.4%,-54.4%,664,$105,"$195,752,396",61,Warner Bros.,2024-05-28
12,13,14,Unsung Hero,"$48,459",-65.6%,-73.3%,530,$91,"$20,000,329",33,Lionsgate Films,2024-05-28
13,14,10,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$33,354",-87.6%,-10.8%,466,$71,"$5,266,853",44,Sony Pictures Releasing,2024-05-28
14,15,17,Kung Fu Panda 4,"$29,075",-66.7%,-70.4%,485,$59,"$193,371,760",82,Universal Pictures,2024-05-28
15,16,16,The Blue Angels,"$27,260",-73.4%,-86.9%,450,$60,"$2,435,510",12,-,2024-05-28
16,17,19,Escape from Germany,"$18,413",-62.8%,-42%,49,$375,"$2,241,229",47,Susan Tuckett Media,2024-05-28
17,18,20,Ghostbusters: Frozen Empire,"$13,098",-46.7%,-63%,228,$57,"$112,727,645",68,Sony Pictures Releasing,2024-05-28
18,19,21,The Ministry of Ungentlemanly Warfare,"$7,025",-67.8%,-79.9%,100,$70,"$20,523,421",40,Lionsgate Films,2024-05-28
19,20,22,Abigail,"$6,665",-47.5%,-84.3%,109,$61,"$25,858,195",40,Universal Pictures,2024-05-28
20,21,23,La Chimera,"$3,252",-56.6%,-20%,15,$216,"$850,423",61,-,2024-05-28
21,22,24,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$1,953",-73.7%,-90.2%,70,$27,"$13,025,657",26,Walt Disney Studios Motion Pictures,2024-05-28
22,23,-,Star Wars: Episode I - The Phantom Menace2012 3D Release,"$1,953",-,-,1,"$1,953","$43,458,335","4,492",Twentieth Century Fox,2024-05-28
23,24,25,Spy x Family Code: White,"$1,426",-34.3%,-69.8%,10,$142,"$8,108,481",40,Crunchyroll,2024-05-28
24,25,27,The Lavender Hill Mob,$314,-50.2%,-42.6%,2,$157,"$15,731",19,Rialto Pictures,2024-05-28
25,26,29,Boy Kills World,$131,"+1,537.5%",+21.3%,4,$32,"$2,626,099",33,Roadside Attractions,2024-05-28
26,27,26,The First Omen,$130,-88.2%,-96%,75,$1,"$20,092,535",54,Walt Disney Studios Motion Pictures,2024-05-28
0,1,1,Furiosa: A Mad Max Saga,"$1,900,519",-35.5%,-,"3,804",$499,"$37,191,504",6,Warner Bros.,2024-05-29
1,2,2,The Garfield Movie,"$1,781,979",-33.6%,-,"4,035",$441,"$35,719,944",6,Sony Pictures Releasing,2024-05-29
2,3,3,IF,"$1,376,948",-29.2%,-23.7%,"4,068",$338,"$68,198,624",13,Paramount Pictures,2024-05-29
3,4,4,Kingdom of the Planet of the Apes,"$1,255,031",-24.5%,-31.6%,"3,550",$353,"$129,984,968",20,20th Century Studios,2024-05-29
4,5,5,The Strangers: Chapter 1,"$645,735",-16.3%,-23.7%,"2,856",$226,"$24,167,660",13,Lionsgate Films,2024-05-29
5,6,6,The Fall Guy,"$564,810",-25.9%,-23.6%,"2,955",$191,"$75,518,480",27,Universal Pictures,2024-05-29
6,7,7,Sight,"$300,023",-38.5%,-,"2,100",$142,"$4,546,267",6,Angel Studios,2024-05-29
7,8,8,Challengers,"$219,206",-13.8%,-45.7%,"1,089",$201,"$47,464,018",34,United Artists Releasing,2024-05-29
8,9,9,Back to Black,"$135,010",-26.3%,-42.4%,"2,013",$67,"$5,656,325",13,Focus Features,2024-05-29
9,10,10,Babes,"$106,055",-12.5%,+516.8%,595,$178,"$1,765,670",13,-,2024-05-29
10,11,11,Tarot,"$93,720",-11.1%,-56.8%,864,$108,"$17,419,249",27,Screen Gems,2024-05-29
11,12,12,Godzilla x Kong: The New Empire,"$56,407",-19.5%,-56.7%,664,$84,"$195,808,803",62,Warner Bros.,2024-05-29
12,13,13,Unsung Hero,"$35,069",-27.6%,-70.7%,530,$66,"$20,035,398",34,Lionsgate Films,2024-05-29
13,14,15,Kung Fu Panda 4,"$27,530",-5.3%,-69.4%,485,$56,"$193,399,290",83,Universal Pictures,2024-05-29
14,15,16,The Blue Angels,"$25,512",-6.4%,-85.4%,450,$56,"$2,461,022",13,-,2024-05-29
15,16,14,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$24,336",-27%,-4.9%,466,$52,"$5,291,189",45,Sony Pictures Releasing,2024-05-29
16,17,17,Escape from Germany,"$14,186",-23%,-36.4%,49,$289,"$2,255,415",48,Susan Tuckett Media,2024-05-29
17,18,18,Ghostbusters: Frozen Empire,"$7,213",-44.9%,-78.1%,228,$31,"$112,734,858",69,Sony Pictures Releasing,2024-05-29
18,19,19,The Ministry of Ungentlemanly Warfare,"$6,358",-9.5%,-78.1%,100,$63,"$20,529,779",41,Lionsgate Films,2024-05-29
19,20,20,Abigail,"$5,105",-23.4%,-86.7%,109,$46,"$25,863,300",41,Universal Pictures,2024-05-29
20,21,21,La Chimera,"$5,068",+55.8%,+4.6%,15,$337,"$855,491",62,-,2024-05-29
21,22,22,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$2,262",+15.8%,-89.4%,70,$32,"$13,027,919",27,Walt Disney Studios Motion Pictures,2024-05-29
22,23,24,Spy x Family Code: White,$797,-44.1%,-82.6%,10,$79,"$8,109,278",41,Crunchyroll,2024-05-29
23,24,25,The Lavender Hill Mob,$240,-23.6%,-15.5%,2,$120,"$15,971",20,Rialto Pictures,2024-05-29
24,25,27,The First Omen,$218,+67.7%,-90.6%,75,$2,"$20,092,753",55,Walt Disney Studios Motion Pictures,2024-05-29
0,1,2,The Garfield Movie,"$1,852,387",+4%,-,"4,035",$459,"$37,572,331",7,Sony Pictures Releasing,2024-05-30
1,2,1,Furiosa: A Mad Max Saga,"$1,726,115",-9.2%,-,"3,804",$453,"$38,917,619",7,Warner Bros.,2024-05-30
2,3,3,IF,"$1,430,326",+3.9%,-17%,"4,068",$351,"$69,628,950",14,Paramount Pictures,2024-05-30
3,4,4,Kingdom of the Planet of the Apes,"$1,211,091",-3.5%,-25.2%,"3,550",$341,"$131,196,059",21,20th Century Studios,2024-05-30
4,5,5,The Strangers: Chapter 1,"$598,180",-7.4%,-30.6%,"2,856",$209,"$24,765,840",14,Lionsgate Films,2024-05-30
5,6,6,The Fall Guy,"$566,925",+0.4%,-19.9%,"2,955",$191,"$76,085,405",28,Universal Pictures,2024-05-30
6,7,7,Sight,"$256,843",-14.4%,-,"2,100",$122,"$4,803,110",7,Angel Studios,2024-05-30
7,8,8,Challengers,"$161,526",-26.3%,-49.1%,"1,089",$148,"$47,625,544",35,United Artists Releasing,2024-05-30
8,9,9,Back to Black,"$96,685",-28.4%,-50.8%,"2,013",$48,"$5,753,010",14,Focus Features,2024-05-30
9,10,10,Babes,"$84,823",-20%,+593.2%,595,$142,"$1,850,493",14,-,2024-05-30
10,11,11,Tarot,"$70,143",-25.2%,-52.6%,864,$81,"$17,489,392",28,Screen Gems,2024-05-30
11,12,12,Godzilla x Kong: The New Empire,"$47,690",-15.5%,-55.3%,664,$71,"$195,856,493",63,Warner Bros.,2024-05-30
12,13,13,Unsung Hero,"$28,959",-17.4%,-69.8%,530,$54,"$20,064,357",35,Lionsgate Films,2024-05-30
13,14,14,Kung Fu Panda 4,"$26,065",-5.3%,-64%,485,$53,"$193,425,355",84,Universal Pictures,2024-05-30
14,15,16,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$21,094",-13.3%,-13.3%,466,$45,"$5,312,283",46,Sony Pictures Releasing,2024-05-30
15,16,15,The Blue Angels,"$17,597",-31%,-82.8%,450,$39,"$2,478,619",14,-,2024-05-30
16,17,18,Ghostbusters: Frozen Empire,"$13,297",+84.3%,-46.3%,228,$58,"$112,748,155",70,Sony Pictures Releasing,2024-05-30
17,18,17,Escape from Germany,"$10,021",-29.4%,-41.5%,49,$204,"$2,265,436",49,Susan Tuckett Media,2024-05-30
18,19,19,The Ministry of Ungentlemanly Warfare,"$5,274",-17%,-71.1%,100,$52,"$20,535,053",42,Lionsgate Films,2024-05-30
19,20,21,La Chimera,"$4,774",-5.8%,+34.6%,15,$318,"$860,265",63,-,2024-05-30
20,21,20,Abigail,"$4,215",-17.4%,-85.3%,109,$38,"$25,867,515",42,Universal Pictures,2024-05-30
21,22,22,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$2,075",-8.3%,-84.1%,70,$29,"$13,029,994",28,Walt Disney Studios Motion Pictures,2024-05-30
22,23,23,Spy x Family Code: White,$764,-4.1%,-76.3%,10,$76,"$8,110,042",42,Crunchyroll,2024-05-30
23,24,24,The Lavender Hill Mob,$390,+62.5%,+2.6%,2,$195,"$16,361",21,Rialto Pictures,2024-05-30
24,25,25,The First Omen,$49,-77.5%,-98.8%,75,$0,"$20,092,802",56,Walt Disney Studios Motion Pictures,2024-05-30
25,26,-,Boy Kills World,$28,-,-61.6%,4,$7,"$2,626,127",35,Roadside Attractions,2024-05-30
0,1,1,The Garfield Movie,"$3,760,000",+103%,-55.3%,"4,108",$915,"$41,332,331",8,Sony Pictures Releasing,2024-05-31
1,2,2,Furiosa: A Mad Max Saga,"$3,050,000",+76.7%,-70.5%,"3,864",$789,"$41,967,619",8,Warner Bros.,2024-05-31
2,3,3,IF,"$2,880,000",+101.4%,-33.3%,"3,783",$761,"$72,508,950",15,Paramount Pictures,2024-05-31
